type,posts
INTJ,"['INTP', 'INTP', 'ENFP', 'INTP', 'INTP', 'ENTP', 'INFP', 'INFP', 'INTJ', 'INTP', 'INFJ', 'ENFP', 'ENFP', 'INTP', 'ISTJ', 'ENFP', 'ENFP', 'ISTP', 'ENFP', 'INFP', 'INFP', 'INTP', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INTP', 'INTP', 'ISTJ', 'INTP', 'INTP', 'ENFP', 'INTP', 'INFP', 'INTP', 'INFP', 'INTP', 'ENTP', 'INTP', 'INFP']"
INTJ,"['INFJ', 'ENFP', 'ENTJ', 'INTP', 'INFP', 'INTP', 'INFJ', 'INTJ', 'INTJ', 'INTJ', 'INTJ', 'INFP', 'INFJ', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INFJ', 'INTJ', 'INFJ', 'INFJ', 'ENTP', 'INTJ', 'ENTP', 'ENTP', 'INTJ', 'INFP', 'ENFP', 'ENFP', 'INTP', 'INTP', 'ISTJ', 'INFP', 'INTP', 'INTP', 'INFJ', 'INFJ', 'INTJ', 'INFJ', 'INTP', 'INTP', 'INTP', 'ENTP', 'INFJ', 'INFJ', 'INFJ', 'INTJ']"
INTP,"['INFJ', 'INFP', 'INTP', 'INTP', 'INFJ', 'INFP', 'ISTP', 'INFJ', 'INTJ', 'INTP', 'INTP', 'INTP', 'ISTJ', 'INTJ', 'INTP', 'INFP', 'INTP', 'INTP', 'INFJ', 'INTP', 'INTJ', 'INFJ', 'ENTP', 'INTJ', 'INTP', 'INTP', 'ENTP', 'INFJ', 'INTP', 'INFJ', 'ISFP', 'INFP', 'ISTP', 'INFP', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFP', 'INFJ', 'ENFP', 'INTP', 'INTP', 'ENFP', 'ENTP', 'ENFP', 'INFP', 'INTP', 'INTP']"
INFP,"['ISFP', 'ISFP', 'ENFP', 'INFP', 'INTJ', 'INFP', 'ENFP', 'ISTP', 'ISTJ', 'INFP', 'INTJ', 'INTJ', 'ENTJ', 'INFP', 'INFP', 'INFP', 'ISFP', 'INFJ', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INTJ', 'INTP', 'INFP', 'ISFP', 'INTJ', 'ISFP', 'ISFJ', 'ENFP', 'ISTP', 'ENFP', 'INTJ', 'INTP', 'ENFP', 'INTP', 'INTP', 'INTJ', 'INFP', 'INTJ', 'INFP', 'ISTP', 'ENFP', 'ENTP', 'ENTP', 'ISTP', 'ENFP', 'ENTP']"
ISTJ,"['ENFP', 'INTP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INTJ', 'ISFJ', 'INTJ', 'INTJ', 'ISTJ', 'ISTP', 'INFJ', 'ISTP', 'INFJ', 'ISTP', 'INFP', 'INFJ', 'INTJ', 'INTJ', 'INTJ', 'ISTP', 'INTP', 'INFJ', 'INFP', 'ENFP', 'INFJ', 'INFP', 'INFJ', 'INFJ', 'INTJ', 'INFP', 'INFP', 'ENFP', 'INTP', 'INFP', 'INTJ', 'INTP', 'INFP', 'INFJ', 'INFP', 'ISTJ', 'INTP', 'INTP', 'INTJ', 'INFP', 'INTP', 'INFJ']"
INTP,"['INFP', 'INFP', 'INTJ', 'INTP', 'INFP', 'INFP', 'INTP', 'ENFP', 'INTJ', 'INTJ', 'INFP', 'INFP', 'INTP', 'INFP', 'INTP', 'INTP', 'ISTP', 'INFP', 'ISTP', 'INTP', 'INTP', 'ISTJ', 'INTP', 'INTP', 'INTP', 'INTP', 'INFP', 'INFP', 'ENFP', 'ENFP', 'ENFP']"
INTP,"['INTJ', 'INFJ', 'ENTP', 'INTP', 'ENFP', 'INTJ', 'INFP', 'INFP', 'INTJ', 'INFP', 'INFJ', 'INTP', 'ISTP', 'ENFP', 'INFJ', 'INTP', 'ENTP', 'INFJ', 'INTP', 'ENTP', 'INTP', 'INFJ', 'ISTJ', 'ENFP', 'INTP', 'INTP', 'ENTP', 'INFP', 'ENFP', 'INTJ', 'INFJ', 'INTP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INTP', 'ENFP', 'INTP', 'ISTP', 'ENFP', 'INTP', 'INFJ', 'INFJ', 'ISTP', 'ENFP']"
INTP,"['INTJ', 'ENFP', 'ENFP', 'INFP', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'INTP', 'INTJ', 'INTP', 'INFP', 'ENTP', 'INFP', 'ISTP', 'ENFP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INTP', 'ENFP', 'INFJ', 'INTP', 'ENFP', 'INFP', 'ISTP', 'INFP', 'ENFP', 'ISTJ', 'ENFP', 'INFP', 'INTJ', 'ENFP', 'INTJ', 'INTP', 'ENFP', 'ENFP', 'ISTP', 'ENFP']"
ISTP,"['INTJ', 'ENTP', 'ENTP', 'ENFP', 'ENTP', 'ENTP', 'ENFP', 'ENFP', 'INFJ', 'ENTP', 'ISTP', 'ENFP', 'INTJ', 'INFJ', 'ESTP', 'ISTP', 'ISFP', 'ENFP', 'ENTP', 'ISTP', 'ENFP', 'ENFP', 'INTP', 'INFJ', 'ENFP', 'INFP', 'INTP', 'INFJ', 'ENFP', 'INTP', 'INFJ', 'ENFP', 'ISTP', 'INTJ', 'INFJ', 'INTP']"
INTP,"['ISTP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'ISTJ', 'ISTP', 'ENTP', 'INTP', 'INFJ', 'INFP', 'ENFP', 'INTP', 'INFP', 'INTP', 'INFP', 'ENFP', 'INTP', 'INFP', 'INTJ', 'INTJ', 'INTP', 'ISTJ', 'INFP', 'ENFP', 'INTP', 'INTP', 'INFJ', 'INFP', 'ENFP', 'ENFP', 'INFJ', 'ISTP', 'INTJ', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INTP']"
ENTP,"['INFJ', 'ENTP', 'ISTP', 'ENTP', 'ENTP', 'INFP', 'ENTP', 'ISTP', 'INTP', 'INTP', 'INTP', 'INTP', 'ISTP', 'ISTP', 'ISTP', 'INTP', 'ISTP', 'INTP', 'ENFP', 'INFJ', 'INTP', 'INTP', 'ISTP', 'INTP', 'ISTP', 'INTP', 'ENFP', 'ISFP', 'INFJ', 'ENTP', 'INFJ', 'INTJ', 'INFJ', 'ISTP', 'ISTP', 'INFP', 'INTP', 'ENFP', 'ISTP', 'ENTP', 'INTJ', 'ENTP', 'INTP', 'INTP', 'INTP', 'INTP', 'ISTP', 'INFP', 'INTP']"
INTP,"['ENFP', 'INTP', 'INTJ', 'INTP', 'INTP', 'INTJ', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTJ', 'INFP', 'ISTP', 'INTP', 'ENFP', 'INTP', 'INTP', 'INFP', 'ISTJ', 'INTP', 'INTP', 'INTP', 'INTP', 'INFP', 'INTP', 'ENTP', 'ENFP', 'ENFP', 'ISTP', 'INFP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'ISTP', 'INFP', 'INTP', 'ENFP', 'INTJ', 'INTP']"
INTJ,"['INFP', 'INTJ', 'INFJ', 'ENTJ', 'INTP', 'ENTP', 'INTP', 'INFJ', 'INTP', 'INTJ', 'INTJ', 'INTJ', 'INFP', 'INTJ', 'ISTP', 'INTJ']"
ISTJ,"['ISFJ', 'ISTP', 'INTP', 'ISFJ', 'INTJ', 'ENTP', 'ENFP', 'ISTP', 'ISTP', 'INTP', 'ISTP', 'INTJ', 'ISTP', 'ISTP', 'INTJ', 'INTP', 'INTP', 'ENFP', 'ISTP', 'ENTP', 'INFP', 'ENTP', 'ENTP', 'ENFP', 'ISTP', 'INTP', 'ENTP', 'ISTP', 'ENFP', 'ISTP', 'ISTP', 'INTP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'ISTP', 'ISTP', 'ISTP', 'ENTP', 'ISTJ', 'ENFP', 'INTP', 'ENFP', 'INTJ', 'ENTP', 'INFP', 'INTP']"
ENTP,"['INTJ', 'ISTP', 'INTJ', 'ENFP', 'INTP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'ENFP', 'INTJ', 'ISFJ', 'ENFP', 'ISTP', 'INFP', 'INTP', 'ISTP', 'ISTP', 'INTP', 'INTP', 'ENFP', 'INFP', 'ENTP', 'INFP', 'INFJ', 'INTP', 'INFP', 'INTP', 'INFP', 'ISTP', 'ENFP', 'ENFP', 'ENTP', 'INTP', 'ENFP', 'INFP', 'ISTP', 'INFP', 'INFP', 'ISFP', 'INFJ', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INFP', 'INTP', 'ENTP', 'INFP']"
ISTJ,"['INFJ', 'INFP', 'INFJ', 'ENTP', 'INFJ', 'INFP', 'INTP', 'ENTP', 'INFJ', 'INFJ', 'ENFP', 'ISFJ', 'INFJ', 'ISTP', 'INTP', 'INTP', 'INFP', 'ISTP', 'INFJ', 'INFP', 'INTP', 'ISTP', 'INFP', 'INTP', 'INFP', 'INFP', 'INTJ', 'ENTJ', 'INTP', 'ENFP', 'INTP', 'INTP', 'ENFP', 'INTJ', 'INFJ', 'INFP', 'ENFP', 'ENFP', 'INFJ', 'ENFP', 'ISTP', 'INFJ', 'INFP', 'INTP', 'INFJ', 'INFP', 'INTP', 'INTP']"
INFP,"['INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INTJ', 'INFP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFP', 'ISTP', 'INFP', 'INFP', 'INTP']"
ENTP,"['INFP', 'INFP', 'INTP', 'INFP', 'INFP', 'ISTP', 'INTP', 'ISTP', 'INTP', 'INTP', 'ISTJ', 'ISTP', 'INTP', 'INTP', 'ENFP', 'INTP', 'INTP', 'INFP', 'ISTP', 'INTP', 'INTJ', 'INTJ', 'INTP', 'INTP', 'INFP', 'INFP', 'INFJ', 'INTJ', 'INFP', 'INTJ', 'INFP', 'INTP', 'INTP', 'ENTP', 'INFP', 'ENTP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INTP', 'ENTP', 'ISTP', 'ISFP', 'INTJ', 'INTJ']"
ISFP,"['INFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INTP', 'INTP', 'ENFP', 'INTJ', 'INFP', 'ENFJ', 'ENFP', 'INTJ', 'ISFP', 'INFP', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'INFJ', 'INTJ', 'INTJ', 'ENFP', 'ENFP', 'INFP', 'INTJ', 'INFP', 'INTP', 'INFP', 'INFP', 'INTP', 'ENFP', 'INFJ', 'ENTP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'INTJ', 'INFP', 'INFP', 'ENFP', 'ISTP', 'INFP']"
ENFJ,"['INFP', 'INFP', 'INFP', 'ENFP', 'ISFJ', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'ISFP', 'ENFP', 'INTJ', 'ENTP', 'INFP', 'INFJ', 'ENFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'ENFP', 'INTP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'INTP', 'INFJ', 'INFP', 'INFJ', 'INFP', 'ENTJ', 'INFJ', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ISTJ', 'ENFP', 'INFJ', 'ENFP', 'INTP']"
ISFP,"['INTP', 'INTP', 'INTJ', 'INTP', 'ENFP', 'INFJ', 'ENTP', 'ENFP', 'INFP', 'ENTP', 'INTP', 'INTJ', 'INFP', 'INFP', 'INTP', 'ENFP', 'ISFP', 'ENFP', 'INFJ', 'INTJ', 'INFP', 'INFP', 'INFP', 'INTP', 'ISTP', 'INFJ', 'ENFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'INFP', 'ISTP', 'ENFP', 'INTJ', 'ENFP', 'ENFP', 'ISTP', 'INFJ', 'ENFP', 'INFP', 'INTP', 'INTJ']"
INFJ,"['INTP', 'INTJ', 'INFP', 'INTP', 'INFJ', 'INTJ', 'INFP', 'INTP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'ISTP', 'ISTP', 'INFJ', 'ENTP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'ENFP', 'ENFP', 'ISTP', 'ENFP', 'INFP', 'ISFJ', 'ISFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'ISTP', 'ENFP', 'INTJ', 'ENFP', 'INTP', 'INFP', 'INTP', 'ENFP', 'ENFP', 'ENTP']"
INTJ,"['INFP', 'INFP', 'INTJ', 'INFP', 'INFP', 'ISTP', 'INTJ', 'INFP', 'ENTJ', 'INFP', 'INTP', 'INTJ', 'INFJ', 'INTJ', 'INTP', 'INTP', 'INFP', 'INTP', 'INFP', 'INTJ', 'ENFP', 'INTP', 'INTP', 'INFP', 'INFP', 'INTP', 'INFP', 'INFP', 'INFP', 'INTJ', 'INTJ', 'INFP', 'INTP', 'INTP', 'INTP', 'ENTP', 'ISTP', 'INTP', 'INTP', 'INTJ', 'INFP', 'INTP', 'INTP', 'INTJ', 'INTJ', 'INFP', 'INTJ']"
INTJ,"['INTP', 'ISTP', 'INTP', 'INFJ', 'ENTP', 'INTP', 'INFJ', 'INFJ', 'INFJ', 'INTP', 'INTP', 'ENTP', 'INTP', 'INFJ', 'ENTP', 'INTP', 'INTP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INTP', 'INTP', 'INTP', 'INFP', 'INFJ', 'INTP', 'INTP', 'INTP', 'INFP', 'INFJ', 'INFJ', 'INFJ', 'ENFP', 'INTP', 'INFJ', 'ENFP', 'ENTP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFJ', 'INFJ', 'INFJ']"
INFP,"['ISTP', 'INTP', 'ENFP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFJ', 'INFJ', 'INFP', 'ENFP', 'INFP', 'INTP', 'INFP', 'INFP', 'INTP', 'INFP', 'ENTP', 'ENFP', 'ISTP', 'ENTP', 'INTP', 'INTP', 'ISTP', 'INFP', 'ENFP', 'INFJ', 'ENFP', 'INTP', 'ENFP']"
ENTP,"['INFJ', 'INTJ', 'INTP', 'ENTP', 'ENFP', 'ENTP', 'INFP', 'ENFP', 'ISTP', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INTJ', 'INTJ', 'INFJ', 'INTJ', 'ISFP', 'INFP', 'ENFP', 'INFP', 'INTP', 'INTP', 'ENTJ', 'ISTJ', 'ENFP', 'INFJ', 'ENFP', 'INTP', 'INFP', 'INFP', 'INFJ', 'ISFP', 'ENTP', 'INTP', 'INFJ', 'INFJ', 'ENTP', 'INFP', 'ENTP', 'ENFP', 'INTJ', 'ENFP', 'INFP', 'ENFP', 'ENTP', 'INTJ', 'ISTP', 'INTJ']"
INFJ,"['ENFP', 'INFJ', 'ENTP', 'INFP', 'ISFJ', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INFP', 'INFJ', 'INFJ', 'INFP', 'INFJ', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFJ', 'ENFP', 'INFJ', 'INFP', 'INTP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'ISTP', 'INFP', 'INFJ', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFP']"
ENTP,"['INTJ', 'INTJ', 'ISTJ', 'ENFP', 'ENTP', 'INTP', 'ENFP', 'INFP', 'ISTJ', 'ISTP', 'INTJ', 'INTP', 'INTP', 'ENTP', 'ENFP', 'ISTP', 'INTJ', 'INTP', 'ISTP', 'ENFP', 'INTJ', 'ISTP', 'INTJ', 'INTP', 'INFJ', 'INFP', 'ENFP', 'INTJ', 'INTP', 'ENFP', 'ISTP', 'INFJ', 'ENFP', 'ENFP', 'ENTP', 'ISTP', 'ISTP', 'INTP', 'INFP', 'ISTP', 'INTP', 'ENFP', 'INTJ', 'INTP', 'INTP', 'INTP', 'INTJ', 'ENTP', 'ENFP']"
INFP,"['INFJ', 'ENFP', 'INTP', 'INFP', 'INFJ', 'ENFP', 'INTP', 'INFP', 'ISTP', 'INTP', 'INFP', 'INFP', 'INFP', 'ISTJ', 'INFP', 'INFJ', 'INTJ', 'INTP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'ISFP', 'INTP', 'INTP', 'INFP', 'INFP', 'INTP', 'INFP', 'INTJ', 'INTP', 'INFP', 'INFJ', 'INTP', 'INTP', 'ISTP', 'INFJ', 'INFJ', 'INTP', 'INFP', 'INFJ', 'INFJ', 'INFP', 'INFP', 'INFP', 'INTJ']"
ENTJ,"['ISTJ', 'INTJ', 'INTJ', 'ISTP', 'INFJ', 'INTP', 'ISFJ', 'ISTP', 'ISTP', 'ISFJ', 'INTJ', 'ENTP', 'ENTP', 'ENTP', 'ENFP', 'ISTP', 'INFJ', 'INFP', 'INFP', 'INTP', 'ISTP', 'ENFP', 'INTJ', 'INFJ', 'INFP', 'INTP', 'ENFP', 'ISTP', 'ISTP', 'INFJ', 'INFP', 'INTP', 'INFJ', 'INFJ', 'INFP', 'INFJ', 'ENTJ', 'ENFP', 'INFP', 'INFP', 'ENTJ', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INFP']"
ESTJ,"['ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'ENFP', 'INFJ', 'ENFP', 'INTJ', 'INTJ', 'ISFJ', 'ISFJ', 'INFP', 'ENFP', 'ISTP', 'ISFJ', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'ISFP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ISTP', 'INFJ', 'INTJ', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'ISTP', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'ENFP']"
ENTP,"['INTP', 'INFP', 'INFP', 'INFP', 'INTJ', 'INTP', 'INFP', 'ENTP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INTJ', 'ENTP', 'ISTP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'INTP', 'INFJ', 'ISTP', 'INFP', 'INTJ', 'INFP', 'ENTP', 'INFP', 'ENTP', 'INFJ', 'INFP', 'INTJ', 'INTP', 'INFJ', 'ISFP', 'INFP', 'ENFP']"
INFJ,"['INFP', 'INTJ', 'ISFP', 'INFJ', 'INTJ', 'INTP', 'INFJ', 'INFP', 'INFP', 'INTP', 'INFP', 'INFJ', 'INFP', 'INFP', 'ISTP', 'ISTP', 'INTP', 'INFJ', 'ENTP', 'INTJ', 'ENTJ', 'ISFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFP', 'ISTP', 'INFP', 'INTP', 'ENFP', 'ENFP', 'ENFJ', 'INFP', 'INFJ', 'INTP', 'INFP', 'INFP', 'INTP', 'INFJ', 'INFP', 'INTP', 'INFP', 'ISTP', 'INFP', 'INTP', 'INFP', 'INFP', 'INTP']"
INTP,"['INTP', 'INFJ', 'INTJ', 'INTP', 'INTJ', 'INTP', 'INTP', 'INTP', 'ISTP', 'INFP', 'ENTP', 'INTP', 'INTP', 'INTP', 'INFJ', 'INFJ', 'ENTP', 'ISTP', 'INTP', 'INTJ', 'INTJ', 'INTP', 'INTP', 'INTP', 'ISTP', 'INFP', 'ISTJ', 'INTP', 'INFJ', 'INTP', 'ISTP', 'ENFP', 'INTP', 'INFP', 'INTJ', 'INTP', 'ISFJ', 'ISTP', 'INTP', 'ISTP', 'INTP', 'INFP', 'INTP', 'INTJ', 'INTP', 'INTP', 'INFP', 'ISTP', 'INTP', 'INTP']"
INFP,"['ISTP', 'ENFP', 'INFP', 'ISTP', 'INFP', 'INTP', 'ISFP', 'INFJ', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFJ', 'INTJ', 'INFP', 'INFP', 'INTP', 'INTP', 'INFJ', 'INTJ', 'INTP', 'INTJ', 'INFJ', 'INTJ', 'INFP', 'INFP', 'INFJ', 'ISTJ', 'ENFP', 'INFJ', 'INTJ', 'INFP', 'INTP', 'INTP', 'INTJ', 'ISTP', 'INTP', 'ISTJ', 'ISTP', 'INFJ', 'INFJ', 'INFP', 'ISTP', 'INTJ', 'INFP', 'INFJ']"
INFJ,"['INFJ', 'ENFP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INTP', 'INFP', 'ENFP', 'INTP', 'ENFP', 'INFJ', 'ENFP', 'ISFP', 'INFP', 'ENFP', 'ISTP', 'INTJ', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ISTP', 'INFP', 'ENFP', 'INFJ', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INTJ', 'ISFJ', 'ENFP', 'INFJ', 'ENFP', 'ISFJ', 'INTJ']"
INFP,"['INTP', 'INTP', 'INFP', 'INFJ', 'INTJ', 'INFP', 'INFP', 'ENFP', 'INTP', 'INTJ', 'INFP', 'INTJ', 'ENFP', 'INTJ', 'INTJ', 'INFJ', 'INTJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INTJ', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INTJ', 'INFP', 'INFJ', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INTJ', 'INFJ', 'INFP', 'INTP', 'ENTP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'INTJ', 'INFP', 'INFJ', 'INFP', 'INFP']"
ESFP,"['ENTP', 'ENFP', 'INTP', 'INTJ', 'INFP', 'INTJ', 'ISTP', 'INFP', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'ISTP', 'ENTP', 'INTP', 'ENFP', 'INFP', 'INFJ', 'ISTP', 'ISTJ', 'ISTP', 'ENFP', 'ENTP', 'ISTP', 'INFJ', 'INTJ', 'ENFP', 'ENFP', 'ISTP', 'INTJ', 'INTP', 'ENTP', 'ISTJ', 'ISTP', 'ENFP', 'ISTJ', 'INFP', 'INTP', 'ISTP', 'ISTP', 'INTP', 'INTJ', 'ENTP', 'INTJ', 'ISFJ', 'ISTP', 'ENFP', 'INFP', 'ISTP', 'ENTP']"
INFJ,"['INFP', 'ENFP', 'INFP', 'INFP', 'ISTP', 'ENTP', 'INTJ', 'ENFP', 'ISTJ', 'ISTP', 'INFP', 'ENFP', 'INFJ', 'INTP', 'INFJ', 'ENTP', 'INTP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ISFP', 'ISTP', 'INFP', 'INFP', 'ENFP', 'INFJ', 'ENFP', 'INTJ', 'INTP', 'ENTJ', 'INTP', 'INTP', 'ENFP', 'INFP', 'ENFP', 'ISFP', 'INTP', 'INTJ', 'INTP']"
ENFP,"['ISFP', 'INTJ', 'ENFP', 'ENFP', 'ISFJ', 'ENFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'INTP', 'INFP', 'ENFP', 'INTJ', 'ENFP', 'INFJ', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'INTJ', 'ENFP', 'INTP', 'INTP', 'INFJ', 'ENFP', 'INFJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INTJ', 'ENFP', 'INFJ', 'ENFP', 'ENTP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INTP', 'INFP', 'ISFP']"
INTJ,"['INTP', 'INFP', 'INFP', 'INFP', 'INTJ', 'ISTP', 'ISFP', 'INFP', 'INTJ', 'ENFP', 'INFP', 'ISTP', 'ISTP', 'INTP', 'INTJ', 'INFP', 'INFP', 'INTJ', 'INTP', 'ISTP', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INTP', 'INTP', 'INFP', 'INTJ', 'INTJ', 'INFP', 'INFJ', 'INTP', 'INFJ', 'INTP', 'ENFP', 'INFJ', 'INFJ', 'ENFP', 'ENFP', 'INTP', 'INFP', 'INFP', 'ISTP', 'INFP', 'INTJ', 'INFP', 'INTP', 'INFP']"
INTP,"['INFP', 'INFP', 'INTJ', 'INTP', 'INTP', 'INTP', 'ENTP', 'INTP', 'INFP', 'INFP', 'INTJ', 'ENTP', 'INTP', 'INTP', 'INTJ', 'INTP', 'ENFP', 'INTJ', 'INFP', 'INTJ', 'ENFP', 'ENTP', 'ENFP', 'INTP', 'INFP', 'INFP', 'ENFP', 'INTP', 'ENFP', 'INTP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INFJ', 'INTP', 'INFJ', 'INTP', 'INTJ', 'INFP', 'INTP', 'ENFP', 'INTP', 'INFJ']"
ENTP,"['INTP', 'INFJ', 'ENTP', 'INTP', 'ENFP', 'INFP', 'INTP', 'ENTP', 'INTP', 'INTJ', 'INTJ', 'INFJ', 'INFP', 'ISTP', 'ISTP', 'ENTP', 'INTP', 'INTJ', 'ENFP', 'INTP', 'ISTP', 'INFP', 'INFP', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'INTP', 'INFP', 'ISTP', 'INFP', 'INTP', 'INFP', 'ENTP', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ISTP', 'INTP', 'INFP', 'INTP', 'INFJ']"
ISTJ,"['INTP', 'INFP', 'ENFP', 'ENFP', 'ISTP', 'ENTP', 'ENFP', 'INFJ', 'ENTP', 'ISTP', 'ENFP', 'ENFP', 'ISTP', 'INTP', 'INFJ', 'ENFP', 'ENFP', 'INTP', 'INFJ', 'ISTP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INFJ', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'INTJ', 'ENFP', 'ISTP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'ISTP', 'INTP']"
ESFP,"['INFP', 'INFJ', 'INTJ', 'ENFP', 'INFJ', 'ENFP', 'INFP', 'INFJ', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'ENTP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFJ', 'INFP', 'INTP', 'ENFP', 'ISFJ', 'INTJ', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INTJ', 'INTP', 'INTJ', 'INTP', 'ISFP', 'ENFP', 'INFJ', 'ENFP', 'INTP', 'ISFJ', 'ISFJ', 'ISFJ', 'ENFP', 'ENFP', 'ISTP', 'ENFP', 'INTJ', 'INTJ', 'ENTP', 'INFP', 'ENFP', 'ENFJ']"
